Rank,Name,Birth Date,Age,Debut,Final Game,Team,Profile Link
#,Name,Address,Age,Born on,First Game,Last Game,
1.,Bill Greason,,100.287,09-03-1924,05-31-1954,06-20-1954,https://www.baseball-almanac.com/players/player.php?p=greasbi01
2.,Bobby Shantz,,99.264,09-26-1925,05-01-1949,09-29-1964,https://www.baseball-almanac.com/players/player.php?p=shantbo01
3.,Ed Mickelson,,98.281,09-09-1926,09-18-1950,05-12-1957,https://www.baseball-almanac.com/players/player.php?p=mickeed01
4.,Jim Willis,,98.089,03-20-1927,04-22-1953,06-05-1954,https://www.baseball-almanac.com/players/player.php?p=williji02
5.,Bob Oldis,,97.163,01-05-1928,04-28-1953,09-29-1963,https://www.baseball-almanac.com/players/player.php?p=oldisbo01
6.,Roy Face,,97.117,02-20-1928,04-16-1953,08-15-1969,https://www.baseball-almanac.com/players/player.php?p=facero01
7.,Billy Hunter,,97.013,06-04-1928,04-14-1953,09-27-1958,https://www.baseball-almanac.com/players/player.php?p=huntebi03
8.,Bob Ross,,96.227,11-02-1928,06-16-1950,05-08-1956,https://www.baseball-almanac.com/players/player.php?p=rossbo01
9.,Al Worthington,,96.132,02-05-1929,07-06-1953,10-02-1969,https://www.baseball-almanac.com/players/player.php?p=worthal01
10.,Joe Margoneri,,95.155,01-13-1930,04-25-1956,06-03-1957,https://www.baseball-almanac.com/players/player.php?p=margojo01
11.,Vern Law,,95.097,03-12-1930,06-11-1950,08-20-1967,https://www.baseball-almanac.com/players/player.php?p=lawve01
12.,Bob Lillis,,95.015,06-02-1930,08-17-1958,09-17-1967,https://www.baseball-almanac.com/players/player.php?p=lillibo01
13.,Joe Morgan,,94.210,11-19-1930,04-14-1959,10-03-1964,https://www.baseball-almanac.com/players/player.php?p=morgajo01
14.,Jim Marshall,,94.023,05-25-1931,04-15-1958,09-28-1962,https://www.baseball-almanac.com/players/player.php?p=marshji01
15.,Zach Monroe,,93.344,07-08-1931,06-27-1958,05-03-1959,https://www.baseball-almanac.com/players/player.php?p=monroza01
16.,Ray Crone,,93.314,08-07-1931,04-13-1954,07-14-1958,https://www.baseball-almanac.com/players/player.php?p=cronera01
17.,Chuck Essegian,,93.312,08-09-1931,04-15-1958,09-28-1963,https://www.baseball-almanac.com/players/player.php?p=essegch01
18.,Stan Pawloski,,93.284,09-06-1931,09-24-1955,09-25-1955,https://www.baseball-almanac.com/players/player.php?p=pawlost01
19.,Ken Aspromonte,,93.268,09-22-1931,09-02-1957,06-21-1963,https://www.baseball-almanac.com/players/player.php?p=asproke01
20.,Fred Kipp,,93.259,10-01-1931,09-10-1957,05-08-1960,https://www.baseball-almanac.com/players/player.php?p=kippfr01
21.,Bob Skinner,,93.257,10-03-1931,04-13-1954,09-24-1966,https://www.baseball-almanac.com/players/player.php?p=skinnbo01
22.,Gary Blaylock,,93.249,10-11-1931,04-10-1959,09-27-1959,https://www.baseball-almanac.com/players/player.php?p=blaylga01
23.,Neal Hertweck,,93.207,11-22-1931,09-27-1952,09-28-1952,https://www.baseball-almanac.com/players/player.php?p=hertwne01
24.,John Pyecha,,93.204,11-25-1931,04-24-1954,04-24-1954,https://www.baseball-almanac.com/players/player.php?p=pyechjo01
25.,Footer Johnson,,93.122,02-15-1932,06-15-1958,07-30-1958,https://www.baseball-almanac.com/players/player.php?p=johnsfo01
26.,Don Taussig,,93.118,02-19-1932,04-23-1958,08-11-1962,https://www.baseball-almanac.com/players/player.php?p=taussdo01
27.,Lee Tate,,93.091,03-18-1932,09-12-1958,07-02-1959,https://www.baseball-almanac.com/players/player.php?p=tatele01
28.,Felix Torres,,93.047,05-01-1932,04-10-1962,10-03-1964,https://www.baseball-almanac.com/players/player.php?p=torrefe01
29.,Charlie Rabe,,93.042,05-06-1932,09-21-1957,06-04-1958,https://www.baseball-almanac.com/players/player.php?p=rabech01
30.,Bennie Daniels,,93.000,06-17-1932,09-24-1957,09-18-1965,https://www.baseball-almanac.com/players/player.php?p=daniebe02
31.,Ron Necciai,,92.364,06-18-1932,08-10-1952,09-28-1952,https://www.baseball-almanac.com/players/player.php?p=necciro01
32.,Vicente Amor,,92.313,08-08-1932,04-16-1955,08-26-1957,https://www.baseball-almanac.com/players/player.php?p=amorvi01
33.,Eric Mackenzie,,92.292,08-29-1932,04-23-1955,04-23-1955,https://www.baseball-almanac.com/players/player.php?p=mackeer01
34.,Marty Kutyna,,92.215,11-14-1932,09-19-1959,09-22-1962,https://www.baseball-almanac.com/players/player.php?p=kutynma01
35.,Russ Heman,,92.127,02-10-1933,04-20-1961,06-18-1961,https://www.baseball-almanac.com/players/player.php?p=hemanru01
36.,Bill Kern,,92.109,02-28-1933,09-19-1962,09-30-1962,https://www.baseball-almanac.com/players/player.php?p=kernbi01
37.,George Altman,,92.089,03-20-1933,04-11-1959,10-01-1967,https://www.baseball-almanac.com/players/player.php?p=altmage01
38.,Lloyd Merritt,,92.070,04-08-1933,04-22-1957,09-28-1957,https://www.baseball-almanac.com/players/player.php?p=merrill02
39.,Joe McClain,,92.043,05-05-1933,04-14-1961,05-27-1962,https://www.baseball-almanac.com/players/player.php?p=mcclajo01
40.,Taylor Phillips,,91.364,06-18-1933,06-08-1956,09-06-1963,https://www.baseball-almanac.com/players/player.php?p=phillta01
41.,Al Spangler,,91.344,07-08-1933,09-16-1959,09-11-1971,https://www.baseball-almanac.com/players/player.php?p=spangal01
42.,Johnny James,,91.329,07-23-1933,09-06-1958,10-01-1961,https://www.baseball-almanac.com/players/player.php?p=jamesjo01
43.,John Fitzgerald,,91.275,09-15-1933,09-28-1958,09-28-1958,https://www.baseball-almanac.com/players/player.php?p=fitzgjo04
44.,Johnny Goryl,,91.239,10-21-1933,09-20-1957,10-02-1964,https://www.baseball-almanac.com/players/player.php?p=goryljo01
45.,Orlando Pena,,91.212,11-17-1933,08-24-1958,05-01-1975,https://www.baseball-almanac.com/players/player.php?p=penaor01
46.,Camilo Pascual,,91.148,01-20-1934,04-15-1954,05-05-1971,https://www.baseball-almanac.com/players/player.php?p=pascuca02
47.,Joey Amalfitano,,91.145,01-23-1934,05-02-1954,06-27-1967,https://www.baseball-almanac.com/players/player.php?p=amalfjo01
48.,Ted Kazanski,,91.143,01-25-1934,06-25-1953,09-28-1958,https://www.baseball-almanac.com/players/player.php?p=kazante01
49.,Bill White,,91.140,01-28-1934,05-07-1956,09-22-1969,https://www.baseball-almanac.com/players/player.php?p=whitebi03
50.,Ted Wills,,91.128,02-09-1934,05-24-1959,06-12-1965,https://www.baseball-almanac.com/players/player.php?p=willste01
51.,Willie Kirkland,,91.120,02-17-1934,04-15-1958,09-26-1966,https://www.baseball-almanac.com/players/player.php?p=kirklwi01
52.,Don Lee,,91.111,02-26-1934,04-23-1957,08-21-1966,https://www.baseball-almanac.com/players/player.php?p=leedo01
53.,Wes Stock,,91.068,04-10-1934,04-19-1959,05-07-1967,https://www.baseball-almanac.com/players/player.php?p=stockwe01
54.,Marty Keough,,91.064,04-14-1934,04-21-1956,09-16-1966,https://www.baseball-almanac.com/players/player.php?p=keougma01
55.,J.C. Hartman,,91.063,04-15-1934,07-21-1962,07-01-1963,https://www.baseball-almanac.com/players/player.php?p=hartmj01
56.,Jackie Brandt,,91.050,04-28-1934,04-21-1956,09-02-1967,https://www.baseball-almanac.com/players/player.php?p=brandja01
57.,Luis Aparicio,,91.049,04-29-1934,04-17-1956,09-28-1973,https://www.baseball-almanac.com/players/player.php?p=aparilu01
58.,Jim Mahoney,,91.022,05-26-1934,07-28-1959,06-14-1965,https://www.baseball-almanac.com/players/player.php?p=mahonji01
59.,Jim Gentile,,91.014,06-03-1934,09-10-1957,09-30-1966,https://www.baseball-almanac.com/players/player.php?p=gentiji01
60.,Russ Snyder,,90.360,06-22-1934,04-18-1959,09-30-1970,https://www.baseball-almanac.com/players/player.php?p=snyderu01
61.,Ed Hobaugh,,90.355,06-27-1934,04-19-1961,09-27-1963,https://www.baseball-almanac.com/players/player.php?p=hobaued01
62.,Ralph Mauriello,,90.296,08-25-1934,09-13-1958,09-27-1958,https://www.baseball-almanac.com/players/player.php?p=maurira01
63.,Don Bradey,,90.256,10-04-1934,09-25-1964,10-04-1964,https://www.baseball-almanac.com/players/player.php?p=bradedo01
64.,Bob Duliba,,90.159,01-09-1935,08-11-1959,05-09-1967,https://www.baseball-almanac.com/players/player.php?p=dulibbo01
65.,Ted Bowsfield,,90.158,01-10-1935,07-20-1958,10-02-1964,https://www.baseball-almanac.com/players/player.php?p=bowsfte01
66.,Don Kaiser,,90.134,02-03-1935,07-20-1955,09-24-1957,https://www.baseball-almanac.com/players/player.php?p=kaisedo01
67.,Dick Tracewski,,90.134,02-03-1935,04-12-1962,09-27-1969,https://www.baseball-almanac.com/players/player.php?p=tracedi01
68.,Mack Burk,,90.057,04-21-1935,05-25-1956,06-22-1958,https://www.baseball-almanac.com/players/player.php?p=burkma01
69.,Bob Botz,,90.050,04-28-1935,05-08-1962,09-29-1962,https://www.baseball-almanac.com/players/player.php?p=botzbo01
70.,Pedro Ramos,,90.050,04-28-1935,04-11-1955,04-25-1970,https://www.baseball-almanac.com/players/player.php?p=ramospe01
71.,Felipe Alou,,90.036,05-12-1935,06-08-1958,04-24-1974,https://www.baseball-almanac.com/players/player.php?p=aloufe01
72.,Bill Dailey,,90.035,05-13-1935,08-17-1961,06-04-1964,https://www.baseball-almanac.com/players/player.php?p=dailebi01
73.,Ken Hamlin,,90.030,05-18-1935,06-17-1957,09-26-1966,https://www.baseball-almanac.com/players/player.php?p=hamlike01
74.,Eddie Haas,,90.022,05-26-1935,09-08-1957,10-01-1960,https://www.baseball-almanac.com/players/player.php?p=haased01
75.,Hal Kolstad,,90.016,06-01-1935,04-22-1962,07-17-1963,https://www.baseball-almanac.com/players/player.php?p=kolstha01
76.,Charlie Dees,,89.358,06-24-1935,05-26-1963,10-02-1965,https://www.baseball-almanac.com/players/player.php?p=deesch01
77.,Buddy Gilbert,,89.326,07-26-1935,09-09-1959,09-27-1959,https://www.baseball-almanac.com/players/player.php?p=gilbebu01
78.,John Edelman,,89.325,07-27-1935,06-02-1955,09-21-1955,https://www.baseball-almanac.com/players/player.php?p=edelmjo01
79.,Terry Fox,,89.321,07-31-1935,09-04-1960,09-25-1966,https://www.baseball-almanac.com/players/player.php?p=foxte01
80.,Ken McBride,,89.309,08-12-1935,08-04-1959,08-15-1965,https://www.baseball-almanac.com/players/player.php?p=mcbrike01
81.,Bob Humphreys,,89.303,08-18-1935,09-08-1962,09-25-1970,https://www.baseball-almanac.com/players/player.php?p=humphbo01
82.,Bobby Richardson,,89.302,08-19-1935,08-05-1955,10-02-1966,https://www.baseball-almanac.com/players/player.php?p=richabo01
83.,Frank Funk,,89.291,08-30-1935,09-03-1960,09-22-1963,https://www.baseball-almanac.com/players/player.php?p=funkfr01
84.,Tom Patton,,89.285,09-05-1935,04-30-1957,04-30-1957,https://www.baseball-almanac.com/players/player.php?p=pattoto01
85.,Jim Proctor,,89.281,09-09-1935,09-14-1959,09-26-1959,https://www.baseball-almanac.com/players/player.php?p=proctji01
